# refseq	assembly	ensembl	genbank	ncbi	ucsc
NW_020825100.1	UnassembledTig127	QOIP01000133.1	QOIP01000133.1		chrUn_NW_020825100v1
NW_020825101.1	UnassembledTig128	QOIP01000134.1	QOIP01000134.1		chrUn_NW_020825101v1
NW_020825102.1	UnassembledTig129	QOIP01000135.1	QOIP01000135.1		chrUn_NW_020825102v1
NW_020825103.1	UnassembledTig13	QOIP01000026.1	QOIP01000026.1		chrUn_NW_020825103v1
NW_020825104.1	UnassembledTig130	QOIP01000136.1	QOIP01000136.1		chrUn_NW_020825104v1
NW_020825105.1	UnassembledTig131	QOIP01000137.1	QOIP01000137.1		chrUn_NW_020825105v1
NW_020825106.1	UnassembledTig132	QOIP01000138.1	QOIP01000138.1		chrUn_NW_020825106v1
NW_020825107.1	UnassembledTig133	QOIP01000139.1	QOIP01000139.1		chrUn_NW_020825107v1
NW_020825108.1	UnassembledTig14	QOIP01000027.1	QOIP01000027.1		chrUn_NW_020825108v1
NW_020825109.1	UnassembledTig16	QOIP01000028.1	QOIP01000028.1		chrUn_NW_020825109v1
NW_020825110.1	UnassembledTig17	QOIP01000029.1	QOIP01000029.1		chrUn_NW_020825110v1
NW_020825111.1	UnassembledTig18	QOIP01000030.1	QOIP01000030.1		chrUn_NW_020825111v1
NW_020825112.1	UnassembledTig19	QOIP01000031.1	QOIP01000031.1		chrUn_NW_020825112v1
NW_020825113.1	UnassembledTig20	QOIP01000032.1	QOIP01000032.1		chrUn_NW_020825113v1
NW_020825114.1	UnassembledTig22	QOIP01000033.1	QOIP01000033.1		chrUn_NW_020825114v1
NW_020825115.1	UnassembledTig23	QOIP01000034.1	QOIP01000034.1		chrUn_NW_020825115v1
NW_020825116.1	UnassembledTig24	QOIP01000035.1	QOIP01000035.1		chrUn_NW_020825116v1
NW_020825117.1	UnassembledTig25	QOIP01000036.1	QOIP01000036.1		chrUn_NW_020825117v1
NW_020825118.1	UnassembledTig26	QOIP01000037.1	QOIP01000037.1		chrUn_NW_020825118v1
NW_020825119.1	UnassembledTig27	QOIP01000038.1	QOIP01000038.1		chrUn_NW_020825119v1
NW_020825120.1	UnassembledTig28	QOIP01000039.1	QOIP01000039.1		chrUn_NW_020825120v1
NW_020825121.1	UnassembledTig29	QOIP01000040.1	QOIP01000040.1		chrUn_NW_020825121v1
NW_020825122.1	UnassembledTig3	QOIP01000016.1	QOIP01000016.1		chrUn_NW_020825122v1
NW_020825123.1	UnassembledTig30	QOIP01000041.1	QOIP01000041.1		chrUn_NW_020825123v1
NW_020825124.1	UnassembledTig31	QOIP01000042.1	QOIP01000042.1		chrUn_NW_020825124v1
NW_020825125.1	UnassembledTig32	QOIP01000043.1	QOIP01000043.1		chrUn_NW_020825125v1
NW_020825126.1	UnassembledTig33	QOIP01000044.1	QOIP01000044.1		chrUn_NW_020825126v1
NW_020825127.1	UnassembledTig34	QOIP01000045.1	QOIP01000045.1		chrUn_NW_020825127v1
NW_020825128.1	UnassembledTig35	QOIP01000046.1	QOIP01000046.1		chrUn_NW_020825128v1
NW_020825129.1	UnassembledTig36	QOIP01000047.1	QOIP01000047.1		chrUn_NW_020825129v1
NW_020825130.1	UnassembledTig37	QOIP01000048.1	QOIP01000048.1		chrUn_NW_020825130v1
NW_020825131.1	UnassembledTig38	QOIP01000049.1	QOIP01000049.1		chrUn_NW_020825131v1
NW_020825132.1	UnassembledTig39	QOIP01000050.1	QOIP01000050.1		chrUn_NW_020825132v1
NW_020825133.1	UnassembledTig4	QOIP01000017.1	QOIP01000017.1		chrUn_NW_020825133v1
NW_020825134.1	UnassembledTig40	QOIP01000051.1	QOIP01000051.1		chrUn_NW_020825134v1
NW_020825135.1	UnassembledTig41	QOIP01000052.1	QOIP01000052.1		chrUn_NW_020825135v1
NW_020825136.1	UnassembledTig42	QOIP01000053.1	QOIP01000053.1		chrUn_NW_020825136v1
NW_020825137.1	UnassembledTig43	QOIP01000054.1	QOIP01000054.1		chrUn_NW_020825137v1
NW_020825138.1	UnassembledTig44	QOIP01000055.1	QOIP01000055.1		chrUn_NW_020825138v1
NW_020825139.1	UnassembledTig45	QOIP01000056.1	QOIP01000056.1		chrUn_NW_020825139v1
NW_020825140.1	UnassembledTig46	QOIP01000057.1	QOIP01000057.1		chrUn_NW_020825140v1
NW_020825141.1	UnassembledTig47	QOIP01000058.1	QOIP01000058.1		chrUn_NW_020825141v1
NW_020825142.1	UnassembledTig48	QOIP01000059.1	QOIP01000059.1		chrUn_NW_020825142v1
NW_020825143.1	UnassembledTig49	QOIP01000060.1	QOIP01000060.1		chrUn_NW_020825143v1
NW_020825144.1	UnassembledTig5	QOIP01000018.1	QOIP01000018.1		chrUn_NW_020825144v1
NW_020825145.1	UnassembledTig50	QOIP01000061.1	QOIP01000061.1		chrUn_NW_020825145v1
NW_020825146.1	UnassembledTig51	QOIP01000062.1	QOIP01000062.1		chrUn_NW_020825146v1
NW_020825147.1	UnassembledTig52	QOIP01000063.1	QOIP01000063.1		chrUn_NW_020825147v1
NW_020825148.1	UnassembledTig53	QOIP01000064.1	QOIP01000064.1		chrUn_NW_020825148v1
NW_020825149.1	UnassembledTig54	QOIP01000065.1	QOIP01000065.1		chrUn_NW_020825149v1
NW_020825150.1	UnassembledTig55	QOIP01000066.1	QOIP01000066.1		chrUn_NW_020825150v1
NW_020825151.1	UnassembledTig56	QOIP01000067.1	QOIP01000067.1		chrUn_NW_020825151v1
NW_020825152.1	UnassembledTig57	QOIP01000068.1	QOIP01000068.1		chrUn_NW_020825152v1
NW_020825153.1	UnassembledTig58	QOIP01000069.1	QOIP01000069.1		chrUn_NW_020825153v1
NW_020825154.1	UnassembledTig59	QOIP01000070.1	QOIP01000070.1		chrUn_NW_020825154v1
NW_020825155.1	UnassembledTig6	QOIP01000019.1	QOIP01000019.1		chrUn_NW_020825155v1
NW_020825156.1	UnassembledTig60	QOIP01000071.1	QOIP01000071.1		chrUn_NW_020825156v1
NW_020825157.1	UnassembledTig61	QOIP01000072.1	QOIP01000072.1		chrUn_NW_020825157v1
NW_020825158.1	UnassembledTig62	QOIP01000073.1	QOIP01000073.1		chrUn_NW_020825158v1
NW_020825159.1	UnassembledTig63	QOIP01000074.1	QOIP01000074.1		chrUn_NW_020825159v1
NW_020825160.1	UnassembledTig66	QOIP01000075.1	QOIP01000075.1		chrUn_NW_020825160v1
NW_020825161.1	UnassembledTig67	QOIP01000076.1	QOIP01000076.1		chrUn_NW_020825161v1
NW_020825162.1	UnassembledTig69	QOIP01000077.1	QOIP01000077.1		chrUn_NW_020825162v1
NW_020825163.1	UnassembledTig7	QOIP01000020.1	QOIP01000020.1		chrUn_NW_020825163v1
NW_020825164.1	UnassembledTig70	QOIP01000078.1	QOIP01000078.1		chrUn_NW_020825164v1
NW_020825165.1	UnassembledTig71	QOIP01000079.1	QOIP01000079.1		chrUn_NW_020825165v1
NW_020825166.1	UnassembledTig73	QOIP01000080.1	QOIP01000080.1		chrUn_NW_020825166v1
NW_020825167.1	UnassembledTig74	QOIP01000081.1	QOIP01000081.1		chrUn_NW_020825167v1
NW_020825168.1	UnassembledTig75	QOIP01000082.1	QOIP01000082.1		chrUn_NW_020825168v1
NW_020825169.1	UnassembledTig77	QOIP01000083.1	QOIP01000083.1		chrUn_NW_020825169v1
NW_020825170.1	UnassembledTig78	QOIP01000084.1	QOIP01000084.1		chrUn_NW_020825170v1
NW_020825171.1	UnassembledTig79	QOIP01000085.1	QOIP01000085.1		chrUn_NW_020825171v1
NW_020825172.1	UnassembledTig8	QOIP01000021.1	QOIP01000021.1		chrUn_NW_020825172v1
NW_020825173.1	UnassembledTig80	QOIP01000086.1	QOIP01000086.1		chrUn_NW_020825173v1
NW_020825174.1	UnassembledTig81	QOIP01000087.1	QOIP01000087.1		chrUn_NW_020825174v1
NW_020825175.1	UnassembledTig82	QOIP01000088.1	QOIP01000088.1		chrUn_NW_020825175v1
NW_020825176.1	UnassembledTig83	QOIP01000089.1	QOIP01000089.1		chrUn_NW_020825176v1
NW_020825177.1	UnassembledTig84	QOIP01000090.1	QOIP01000090.1		chrUn_NW_020825177v1
NW_020825178.1	UnassembledTig85	QOIP01000091.1	QOIP01000091.1		chrUn_NW_020825178v1
NW_020825179.1	UnassembledTig86	QOIP01000092.1	QOIP01000092.1		chrUn_NW_020825179v1
NW_020825180.1	UnassembledTig87	QOIP01000093.1	QOIP01000093.1		chrUn_NW_020825180v1
NW_020825181.1	UnassembledTig88	QOIP01000094.1	QOIP01000094.1		chrUn_NW_020825181v1
NW_020825182.1	UnassembledTig89	QOIP01000095.1	QOIP01000095.1		chrUn_NW_020825182v1
NW_020825183.1	UnassembledTig9	QOIP01000022.1	QOIP01000022.1		chrUn_NW_020825183v1
NW_020825184.1	UnassembledTig90	QOIP01000096.1	QOIP01000096.1		chrUn_NW_020825184v1
NW_020825185.1	UnassembledTig91	QOIP01000097.1	QOIP01000097.1		chrUn_NW_020825185v1
NW_020825186.1	UnassembledTig92	QOIP01000098.1	QOIP01000098.1		chrUn_NW_020825186v1
NW_020825187.1	UnassembledTig93	QOIP01000099.1	QOIP01000099.1		chrUn_NW_020825187v1
NW_020825188.1	UnassembledTig94	QOIP01000100.1	QOIP01000100.1		chrUn_NW_020825188v1
NW_020825189.1	UnassembledTig95	QOIP01000101.1	QOIP01000101.1		chrUn_NW_020825189v1
NW_020825190.1	UnassembledTig96	QOIP01000102.1	QOIP01000102.1		chrUn_NW_020825190v1
NW_020825191.1	UnassembledTig97	QOIP01000103.1	QOIP01000103.1		chrUn_NW_020825191v1
NW_020825192.1	UnassembledTig98	QOIP01000104.1	QOIP01000104.1		chrUn_NW_020825192v1
NW_020825193.1	UnassembledTig99	QOIP01000105.1	QOIP01000105.1		chrUn_NW_020825193v1
